RXCUI,STR,TTY,CODE,SAB,ATV,Supplemental_Info,Text_Chunk
2641622,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (UV, FORMALDEHYDE INACTIVATED)",SU,A5PTS27URJ,MTHSPL,,,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (UV, FORMALDEHYDE INACTIVATED) (SU) - . "
2641622,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) HEMAGGLUTININ ANTIGEN (UV, FORMALDEHYDE INACTIVATED)",SU,9HA5C4XL36,MTHSPL,,,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) HEMAGGLUTININ ANTIGEN (UV, FORMALDEHYDE INACTIVATED) (SU) - . "
2708995,INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (PROPIOLACTONE INACTIVATED),SU,L38QVJ42SY,MTHSPL,,,INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (PROPIOLACTONE INACTIVATED) (SU) - . 
2708995,INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED),SU,R3KQM5Q4QF,MTHSPL,,,INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED) (SU) - . 
2708995,"INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (UV, FORMALDEHYDE INACTIVATED)",SU,98PQP6K6TA,MTHSPL,,,"INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (UV, FORMALDEHYDE INACTIVATED) (SU) - . "
2708995,"INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) HEMAGGLUTININ ANTIGEN (UV, FORMALDEHYDE INACTIVATED)",SU,7VP5R7Z722,MTHSPL,,,"INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) HEMAGGLUTININ ANTIGEN (UV, FORMALDEHYDE INACTIVATED) (SU) - . "
2717943,"INFLUENZA A VIRUS A/Victoria/800/2024 CVR-289 (H3N2) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED)",SU,4HH5SUR63T,MTHSPL,,,"INFLUENZA A VIRUS A/Victoria/800/2024 CVR-289 (H3N2) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) (SU) - . "
2717943,"INFLUENZA A VIRUS A/Victoria/800/2024 CVR-289 (H3N2) HEMAGGLUTININ ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED)",SU,9V9Y969F8M,MTHSPL,,,"INFLUENZA A VIRUS A/Victoria/800/2024 CVR-289 (H3N2) HEMAGGLUTININ ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) (SU) - . "
2717943,influenza A virus A/Victoria/800/2024 (H3N2) antigen,PIN,2717943,RXNORM,,,influenza A virus A/Victoria/800/2024 (H3N2) antigen (PIN) - . 
2717944,Sebetralstat,SU,O5ZD2TU2B7,MTHSPL,,,Sebetralstat (SU) - . 
2717944,sebetralstat,IN,2717944,RXNORM,,,sebetralstat (IN) - . 
2717945,sebetralstat 300 MG,SCDC,2717945,RXNORM,,,sebetralstat 300 MG (SCDC) - . 
2717946,sebetralstat Oral Product,SCDG,2717946,RXNORM,,,sebetralstat Oral Product (SCDG) - . 
2717947,sebetralstat Pill,SCDG,2717947,RXNORM,,,sebetralstat Pill (SCDG) - . 
2717948,sebetralstat Oral Tablet,SCDF,2717948,RXNORM,,,sebetralstat Oral Tablet (SCDF) - . 
2717949,sebetralstat 300 MG Oral Tablet,SCD,2717949,RXNORM,,,sebetralstat 300 MG Oral Tablet (SCD) - . 
2717949,sebetralstat 300 MG Oral Tablet,PSN,2717949,RXNORM,,,sebetralstat 300 MG Oral Tablet (PSN) - . 
2717950,Ekterly,BN,2717950,RXNORM,,,Ekterly (BN) - . 
2717951,sebetralstat 300 MG [Ekterly],SBDC,2717951,RXNORM,,,sebetralstat 300 MG [Ekterly] (SBDC) - . 
2717952,Ekterly Oral Product,SBDG,2717952,RXNORM,,,Ekterly Oral Product (SBDG) - . 
2717953,Ekterly Pill,SBDG,2717953,RXNORM,,,Ekterly Pill (SBDG) - . 
2717954,sebetralstat Oral Tablet [Ekterly],SBDF,2717954,RXNORM,,,sebetralstat Oral Tablet [Ekterly] (SBDF) - . 
2717955,Sebetralstat 300 mg ORAL TABLET [EKTERLY],DP,82928-300,MTHSPL,yellow,,Sebetralstat 300 mg ORAL TABLET [EKTERLY] (DP) - yellow. 
2717955,sebetralstat 300 MG Oral Tablet [Ekterly],SBD,2717955,RXNORM,yellow,,sebetralstat 300 MG Oral Tablet [Ekterly] (SBD) - yellow. 
2717955,Ekterly 300 MG Oral Tablet,SY,2717955,RXNORM,yellow,,Ekterly 300 MG Oral Tablet (SY) - yellow. 
2717955,Ekterly 300 MG Oral Tablet,PSN,2717955,RXNORM,yellow,,Ekterly 300 MG Oral Tablet (PSN) - yellow. 
2718365,influenza A virus A/Victoria/800/2024 (H3N2) antigen 0.03 MG/ML,SCDC,2718365,RXNORM,,,influenza A virus A/Victoria/800/2024 (H3N2) antigen 0.03 MG/ML (SCDC) - . 
2718367,influenza A virus A/Georgia/12/2022 (H1N1) antigen / influenza A virus A/Victoria/800/2024 (H3N2) antigen / influenza B virus B/Singapore/WUH4618/2021 antigen Injectable Suspension,SCDFP,2718367,RXNORM,,,influenza A virus A/Georgia/12/2022 (H1N1) antigen / influenza A virus A/Victoria/800/2024 (H3N2) antigen / influenza B virus B/Singapore/WUH4618/2021 antigen Injectable Suspension (SCDFP) - . 
2718368,influenza A virus A/Georgia/12/2022 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Victoria/800/2024 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Singapore/WUH4618/2021 antigen 0.03 MG/ML Injectable Suspension,SCD,2718368,RXNORM,,,influenza A virus A/Georgia/12/2022 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Victoria/800/2024 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Singapore/WUH4618/2021 antigen 0.03 MG/ML Injectable Suspension (SCD) - . 
2718368,influenza virus vaccine 2025-2026 (trivalent - Georgia/Victoria/Singapore) Injectable Suspension,SY,2718368,RXNORM,,,influenza virus vaccine 2025-2026 (trivalent - Georgia/Victoria/Singapore) Injectable Suspension (SY) - . 
2718368,influenza virus vaccine 2025-2026 (trivalent - Georgia/Victoria/Singapore) Injectable Suspension,PSN,2718368,RXNORM,,,influenza virus vaccine 2025-2026 (trivalent - Georgia/Victoria/Singapore) Injectable Suspension (PSN) - . 
2718369,Flucelvax 2025-2026,BN,2718369,RXNORM,,,Flucelvax 2025-2026 (BN) - . 
2718370,influenza A virus A/Georgia/12/2022 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Victoria/800/2024 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Singapore/WUH4618/2021 antigen 0.03 MG/ML [Flucelvax 2025-2026],SBDC,2718370,RXNORM,,,influenza A virus A/Georgia/12/2022 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Victoria/800/2024 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Singapore/WUH4618/2021 antigen 0.03 MG/ML [Flucelvax 2025-2026] (SBDC) - . 
2718371,Flucelvax 2025-2026 Injectable Product,SBDG,2718371,RXNORM,,,Flucelvax 2025-2026 Injectable Product (SBDG) - . 
2718372,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Injectable Suspension [Flucelvax 2025-2026],SBDF,2718372,RXNORM,,,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Injectable Suspension [Flucelvax 2025-2026] (SBDF) - . 
2718373,influenza A virus A/Georgia/12/2022 (H1N1) antigen / influenza A virus A/Victoria/800/2024 (H3N2) antigen / influenza B virus B/Singapore/WUH4618/2021 antigen Injectable Suspension [Flucelvax 2025-2026],SBDFP,2718373,RXNORM,,,influenza A virus A/Georgia/12/2022 (H1N1) antigen / influenza A virus A/Victoria/800/2024 (H3N2) antigen / influenza B virus B/Singapore/WUH4618/2021 antigen Injectable Suspension [Flucelvax 2025-2026] (SBDFP) - . 
2718374,"INFLUENZA A VIRUS A/Georgia/12/2022 CVR-167 (H1N1) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/Victoria/800/2024 CVR-289 (H3N2) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/Singapore/WUH4618/2021 ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [Flucelvax]",DP,70461-555,MTHSPL,,,"INFLUENZA A VIRUS A/Georgia/12/2022 CVR-167 (H1N1) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/Victoria/800/2024 CVR-289 (H3N2) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/Singapore/WUH4618/2021 ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [Flucelvax] (DP) - . "
2718374,influenza A virus A/Georgia/12/2022 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Victoria/800/2024 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Singapore/WUH4618/2021 antigen 0.03 MG/ML Injectable Suspension [Flucelvax 2025-2026],SBD,2718374,RXNORM,,,influenza A virus A/Georgia/12/2022 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Victoria/800/2024 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Singapore/WUH4618/2021 antigen 0.03 MG/ML Injectable Suspension [Flucelvax 2025-2026] (SBD) - . 
2718374,Flucelvax 2025-2026 vaccine Injectable Suspension,SY,2718374,RXNORM,,,Flucelvax 2025-2026 vaccine Injectable Suspension (SY) - . 
2718374,FLUCELVAX 2025-2026 vaccine Injectable Suspension,PSN,2718374,RXNORM,,,FLUCELVAX 2025-2026 vaccine Injectable Suspension (PSN) - . 
2718377,influenza A virus A/Georgia/12/2022 (H1N1) antigen / influenza A virus A/Victoria/800/2024 (H3N2) antigen / influenza B virus B/Singapore/WUH4618/2021 antigen Prefilled Syringe,SCDFP,2718377,RXNORM,,,influenza A virus A/Georgia/12/2022 (H1N1) antigen / influenza A virus A/Victoria/800/2024 (H3N2) antigen / influenza B virus B/Singapore/WUH4618/2021 antigen Prefilled Syringe (SCDFP) - . 
2718378,0.5 ML influenza A virus A/Georgia/12/2022 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Victoria/800/2024 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Singapore/WUH4618/2021 antigen 0.03 MG/ML Prefilled Syringe,SCD,2718378,RXNORM,,,0.5 ML influenza A virus A/Georgia/12/2022 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Victoria/800/2024 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Singapore/WUH4618/2021 antigen 0.03 MG/ML Prefilled Syringe (SCD) - . 
2718378,influenza virus vaccine 2025-2026 (trivalent - Georgia/Victoria/Singapore) 0.5 ML Prefilled Syringe,SY,2718378,RXNORM,,,influenza virus vaccine 2025-2026 (trivalent - Georgia/Victoria/Singapore) 0.5 ML Prefilled Syringe (SY) - . 
2718378,influenza virus vaccine 2025-2026 (trivalent - Georgia/Victoria/Singapore) 0.5 ML Prefilled Syringe,PSN,2718378,RXNORM,,,influenza virus vaccine 2025-2026 (trivalent - Georgia/Victoria/Singapore) 0.5 ML Prefilled Syringe (PSN) - . 
2718380,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Flucelvax 2025-2026],SBDF,2718380,RXNORM,,,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Flucelvax 2025-2026] (SBDF) - . 
2718381,influenza A virus A/Georgia/12/2022 (H1N1) antigen / influenza A virus A/Victoria/800/2024 (H3N2) antigen / influenza B virus B/Singapore/WUH4618/2021 antigen Prefilled Syringe [Flucelvax 2025-2026],SBDFP,2718381,RXNORM,,,influenza A virus A/Georgia/12/2022 (H1N1) antigen / influenza A virus A/Victoria/800/2024 (H3N2) antigen / influenza B virus B/Singapore/WUH4618/2021 antigen Prefilled Syringe [Flucelvax 2025-2026] (SBDFP) - . 
2718382,"INFLUENZA A VIRUS A/Georgia/12/2022 CVR-167 (H1N1) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/Victoria/800/2024 CVR-289 (H3N2) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/Singapore/WUH4618/2021 ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [Flucelvax]",DP,70461-655,MTHSPL,,,"INFLUENZA A VIRUS A/Georgia/12/2022 CVR-167 (H1N1) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/Victoria/800/2024 CVR-289 (H3N2) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/Singapore/WUH4618/2021 ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [Flucelvax] (DP) - . "
2718382,0.5 ML influenza A virus A/Georgia/12/2022 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Victoria/800/2024 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Singapore/WUH4618/2021 antigen 0.03 MG/ML Prefilled Syringe [Flucelvax 2025-2026],SBD,2718382,RXNORM,,,0.5 ML influenza A virus A/Georgia/12/2022 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Victoria/800/2024 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Singapore/WUH4618/2021 antigen 0.03 MG/ML Prefilled Syringe [Flucelvax 2025-2026] (SBD) - . 
2718382,Flucelvax 2025-2026 vaccine 0.5 ML Prefilled Syringe,SY,2718382,RXNORM,,,Flucelvax 2025-2026 vaccine 0.5 ML Prefilled Syringe (SY) - . 
2718382,FLUCELVAX 2025-2026 vaccine 0.5 ML Prefilled Syringe,PSN,2718382,RXNORM,,,FLUCELVAX 2025-2026 vaccine 0.5 ML Prefilled Syringe (PSN) - . 
2718385,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Austria/1359417/2021 antigen Prefilled Syringe,SCDFP,2718385,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Austria/1359417/2021 antigen Prefilled Syringe (SCDFP) - . 
2718386,0.5 ML influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML Prefilled Syringe,SCD,2718386,RXNORM,,,0.5 ML influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML Prefilled Syringe (SCD) - . 
2718386,influenza virus vaccine 2025-2026 (trivalent - Croatia/Victoria/Austria) 0.5 ML Prefilled Syringe,SY,2718386,RXNORM,,,influenza virus vaccine 2025-2026 (trivalent - Croatia/Victoria/Austria) 0.5 ML Prefilled Syringe (SY) - . 
2718386,influenza virus vaccine 2025-2026 (trivalent - Croatia/Victoria/Austria) 0.5 ML Prefilled Syringe,PSN,2718386,RXNORM,,,influenza virus vaccine 2025-2026 (trivalent - Croatia/Victoria/Austria) 0.5 ML Prefilled Syringe (PSN) - . 
2718388,Fluad 2025-2026,BN,2718388,RXNORM,,,Fluad 2025-2026 (BN) - . 
2718389,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML [Fluad 2025-2026],SBDC,2718389,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML [Fluad 2025-2026] (SBDC) - . 
2718390,Fluad 2025-2026 Injectable Product,SBDG,2718390,RXNORM,,,Fluad 2025-2026 Injectable Product (SBDG) - . 
2718391,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluad 2025-2026],SBDF,2718391,RXNORM,,,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluad 2025-2026] (SBDF) - . 
2718392,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Austria/1359417/2021 antigen Prefilled Syringe [Fluad 2025-2026],SBDFP,2718392,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Austria/1359417/2021 antigen Prefilled Syringe [Fluad 2025-2026] (SBDFP) - . 
2718393,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/CROATIA/10136RV/2023 X-425A (H3N2) ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/AUSTRIA/1359417/2021 BVR-26 ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [FLUAD]",DP,70461-025,MTHSPL,,,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/CROATIA/10136RV/2023 X-425A (H3N2) ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/AUSTRIA/1359417/2021 BVR-26 ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [FLUAD] (DP) - . "
2718393,0.5 ML influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML Prefilled Syringe [Fluad 2025-2026],SBD,2718393,RXNORM,,,0.5 ML influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML Prefilled Syringe [Fluad 2025-2026] (SBD) - . 
2718393,Fluad 2025-2026 vaccine 0.5 ML Prefilled Syringe,SY,2718393,RXNORM,,,Fluad 2025-2026 vaccine 0.5 ML Prefilled Syringe (SY) - . 
2718393,FLUAD 2025-2026 vaccine 0.5 ML Prefilled Syringe,PSN,2718393,RXNORM,,,FLUAD 2025-2026 vaccine 0.5 ML Prefilled Syringe (PSN) - . 
2718395,Afluria 2025-2026,BN,2718395,RXNORM,,,Afluria 2025-2026 (BN) - . 
2718396,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML [Afluria 2025-2026],SBDC,2718396,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML [Afluria 2025-2026] (SBDC) - . 
2718397,Afluria 2025-2026 Injectable Product,SBDG,2718397,RXNORM,,,Afluria 2025-2026 Injectable Product (SBDG) - . 
2718398,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Afluria 2025-2026],SBDF,2718398,RXNORM,,,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Afluria 2025-2026] (SBDF) - . 
2718399,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Austria/1359417/2021 antigen Prefilled Syringe [Afluria 2025-2026],SBDFP,2718399,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Austria/1359417/2021 antigen Prefilled Syringe [Afluria 2025-2026] (SBDFP) - . 
2718400,"INFLUENZA A VIRUS A/Victoria/4897/2022 IVR-238 (H1N1) ANTIGEN (PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/Austria/1359417/2021 BVR-26 ANTIGEN (PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [Afluria]",DP,33332-025,MTHSPL,,,"INFLUENZA A VIRUS A/Victoria/4897/2022 IVR-238 (H1N1) ANTIGEN (PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/Austria/1359417/2021 BVR-26 ANTIGEN (PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [Afluria] (DP) - . "
2718400,0.5 ML influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML Prefilled Syringe [Afluria 2025-2026],SBD,2718400,RXNORM,,,0.5 ML influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML Prefilled Syringe [Afluria 2025-2026] (SBD) - . 
2718400,Afluria 2025-2026 vaccine 0.5 ML Prefilled Syringe,SY,2718400,RXNORM,,,Afluria 2025-2026 vaccine 0.5 ML Prefilled Syringe (SY) - . 
2718400,afluria 2025-2026 vaccine 0.5 ML Prefilled Syringe,PSN,2718400,RXNORM,,,afluria 2025-2026 vaccine 0.5 ML Prefilled Syringe (PSN) - . 
2718402,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Austria/1359417/2021 antigen Injectable Suspension,SCDFP,2718402,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Austria/1359417/2021 antigen Injectable Suspension (SCDFP) - . 
2718403,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML Injectable Suspension,SCD,2718403,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML Injectable Suspension (SCD) - . 
