RXCUI,STR,TTY,CODE,SAB,ATV,Supplemental_Info,Text_Chunk
2718403,influenza virus vaccine 2025-2026 (trivalent - Croatia/Victoria/Austria) Injectable Suspension,SY,2718403,RXNORM,,,influenza virus vaccine 2025-2026 (trivalent - Croatia/Victoria/Austria) Injectable Suspension (SY) - . 
2718403,influenza virus vaccine 2025-2026 (trivalent - Croatia/Victoria/Austria) Injectable Suspension,PSN,2718403,RXNORM,,,influenza virus vaccine 2025-2026 (trivalent - Croatia/Victoria/Austria) Injectable Suspension (PSN) - . 
2718404,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Injectable Suspension [Afluria 2025-2026],SBDF,2718404,RXNORM,,,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Injectable Suspension [Afluria 2025-2026] (SBDF) - . 
2718405,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Austria/1359417/2021 antigen Injectable Suspension [Afluria 2025-2026],SBDFP,2718405,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Austria/1359417/2021 antigen Injectable Suspension [Afluria 2025-2026] (SBDFP) - . 
2718406,"INFLUENZA A VIRUS A/Victoria/4897/2022 IVR-238 (H1N1) ANTIGEN (PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/Austria/1359417/2021 BVR-26 ANTIGEN (PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [Afluria]",DP,33332-125,MTHSPL,,,"INFLUENZA A VIRUS A/Victoria/4897/2022 IVR-238 (H1N1) ANTIGEN (PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/Austria/1359417/2021 BVR-26 ANTIGEN (PROPIOLACTONE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [Afluria] (DP) - . "
2718406,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML Injectable Suspension [Afluria 2025-2026],SBD,2718406,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML Injectable Suspension [Afluria 2025-2026] (SBD) - . 
2718406,Afluria 2025-2026 vaccine 0.5 ML Injectable Suspension,SY,2718406,RXNORM,,,Afluria 2025-2026 vaccine 0.5 ML Injectable Suspension (SY) - . 
2718406,afluria 2025-2026 vaccine 0.5 ML Injectable Suspension,PSN,2718406,RXNORM,,,afluria 2025-2026 vaccine 0.5 ML Injectable Suspension (PSN) - . 
2718457,Flulaval 2025-2026,BN,2718457,RXNORM,,,Flulaval 2025-2026 (BN) - . 
2718458,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML [Flulaval 2025-2026],SBDC,2718458,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML [Flulaval 2025-2026] (SBDC) - . 
2718459,Flulaval 2025-2026 Injectable Product,SBDG,2718459,RXNORM,,,Flulaval 2025-2026 Injectable Product (SBDG) - . 
2718460,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Flulaval 2025-2026],SBDF,2718460,RXNORM,,,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Flulaval 2025-2026] (SBDF) - . 
2718461,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Austria/1359417/2021 antigen Prefilled Syringe [Flulaval 2025-2026],SBDFP,2718461,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Austria/1359417/2021 antigen Prefilled Syringe [Flulaval 2025-2026] (SBDFP) - . 
2718462,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (UV, FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (UV, FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/AUSTRIA/1359417/2021 BVR-26 ANTIGEN (UV, FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR SUSPENSION [FLULAVAL 2025/2026]",DP,19515-904,MTHSPL,,,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (UV, FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (UV, FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/AUSTRIA/1359417/2021 BVR-26 ANTIGEN (UV, FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR SUSPENSION [FLULAVAL 2025/2026] (DP) - . "
2718462,0.5 ML influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML Prefilled Syringe [Flulaval 2025-2026],SBD,2718462,RXNORM,,,0.5 ML influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Austria/1359417/2021 antigen 0.03 MG/ML Prefilled Syringe [Flulaval 2025-2026] (SBD) - . 
2718462,FLULAVAL 2025-2026 vaccine 0.5 ML Prefilled Syringe,PSN,2718462,RXNORM,,,FLULAVAL 2025-2026 vaccine 0.5 ML Prefilled Syringe (PSN) - . 
2718462,Flulaval 2025-2026 vaccine 0.5 ML Prefilled Syringe,SY,2718462,RXNORM,,,Flulaval 2025-2026 vaccine 0.5 ML Prefilled Syringe (SY) - . 
2718464,Fluzone 2025-2026,BN,2718464,RXNORM,,,Fluzone 2025-2026 (BN) - . 
2718465,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.12 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.12 MG/ML / influenza B virus B/Michigan/01/2021 antigen 0.12 MG/ML [Fluzone 2025-2026],SBDC,2718465,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.12 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.12 MG/ML / influenza B virus B/Michigan/01/2021 antigen 0.12 MG/ML [Fluzone 2025-2026] (SBDC) - . 
2718466,Fluzone 2025-2026 Injectable Product,SBDG,2718466,RXNORM,,,Fluzone 2025-2026 Injectable Product (SBDG) - . 
2718467,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone 2025-2026],SBDF,2718467,RXNORM,,,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Fluzone 2025-2026] (SBDF) - . 
2718468,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Michigan/01/2021 antigen Prefilled Syringe [Fluzone 2025-2026],SBDFP,2718468,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Michigan/01/2021 antigen Prefilled Syringe [Fluzone 2025-2026] (SBDFP) - . 
2718469,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED) 60 ug in 0.5 mL / INFLUENZA A VIRUS A/CROATIA/10136RV/2023 X-425A (H3N2) ANTIGEN (FORMALDEHYDE INACTIVATED) 60 ug in 0.5 mL / INFLUENZA B VIRUS B/MICHIGAN/01/2021 ANTIGEN (FORMALDEHYDE INACTIVATED) 60 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [FLUZONE HIGH DOSE NORTHERN HEMISPHERE]",DP,49281-125,MTHSPL,,,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED) 60 ug in 0.5 mL / INFLUENZA A VIRUS A/CROATIA/10136RV/2023 X-425A (H3N2) ANTIGEN (FORMALDEHYDE INACTIVATED) 60 ug in 0.5 mL / INFLUENZA B VIRUS B/MICHIGAN/01/2021 ANTIGEN (FORMALDEHYDE INACTIVATED) 60 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [FLUZONE HIGH DOSE NORTHERN HEMISPHERE] (DP) - . "
2718469,0.5 ML influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.12 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.12 MG/ML / influenza B virus B/Michigan/01/2021 antigen 0.12 MG/ML Prefilled Syringe [Fluzone 2025-2026],SBD,2718469,RXNORM,,,0.5 ML influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.12 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.12 MG/ML / influenza B virus B/Michigan/01/2021 antigen 0.12 MG/ML Prefilled Syringe [Fluzone 2025-2026] (SBD) - . 
2718469,Fluzone 2025-2026 high-dose vaccine 0.5 ML Prefilled Syringe,SY,2718469,RXNORM,,,Fluzone 2025-2026 high-dose vaccine 0.5 ML Prefilled Syringe (SY) - . 
2718469,Fluzone 2025-2026 high-dose vaccine 0.5 ML Prefilled Syringe,PSN,2718469,RXNORM,,,Fluzone 2025-2026 high-dose vaccine 0.5 ML Prefilled Syringe (PSN) - . 
2718471,MINOXIDIL 5 g in 100 mL / ROSEMARY 5 g in 100 mL TOPICAL LIQUID [5% Minoxidil and 5% Rosemary for Hair Care],DP,84454-001,MTHSPL,,,MINOXIDIL 5 g in 100 mL / ROSEMARY 5 g in 100 mL TOPICAL LIQUID [5% Minoxidil and 5% Rosemary for Hair Care] (DP) - . 
2718811,ARNICA MONTANA 7 g in 100 g TOPICAL CREAM [NATUHEAL JOINT BACK PAIN RELIEF],DP,84010-146,MTHSPL,,,ARNICA MONTANA 7 g in 100 g TOPICAL CREAM [NATUHEAL JOINT BACK PAIN RELIEF] (DP) - . 
2719193,Pyquvi,BN,2719193,RXNORM,,,Pyquvi (BN) - . 
2719194,deflazacort 22.75 MG/ML [Pyquvi],SBDC,2719194,RXNORM,,,deflazacort 22.75 MG/ML [Pyquvi] (SBDC) - . 
2719195,Pyquvi Oral Product,SBDG,2719195,RXNORM,,,Pyquvi Oral Product (SBDG) - . 
2719196,Pyquvi Oral Liquid Product,SBDG,2719196,RXNORM,,,Pyquvi Oral Liquid Product (SBDG) - . 
2719197,deflazacort Oral Suspension [Pyquvi],SBDF,2719197,RXNORM,,,deflazacort Oral Suspension [Pyquvi] (SBDF) - . 
2719198,DEFLAZACORT 22.75 mg in 1 mL ORAL SUSPENSION [PYQUVI],DP,73289-0089,MTHSPL,white(white to off-white),,DEFLAZACORT 22.75 mg in 1 mL ORAL SUSPENSION [PYQUVI] (DP) - white(white to off-white). 
2719198,deflazacort 22.75 MG/ML Oral Suspension [Pyquvi],SBD,2719198,RXNORM,white(white to off-white),,deflazacort 22.75 MG/ML Oral Suspension [Pyquvi] (SBD) - white(white to off-white). 
2719198,Pyquvi 22.75 MG/ML Oral Suspension,SY,2719198,RXNORM,white(white to off-white),,Pyquvi 22.75 MG/ML Oral Suspension (SY) - white(white to off-white). 
2719198,Pyquvi 22.75 MG/mL Oral Suspension,PSN,2719198,RXNORM,white(white to off-white),,Pyquvi 22.75 MG/mL Oral Suspension (PSN) - white(white to off-white). 
2719199,epinephrine 0.04 MG/ML,SCDC,2719199,RXNORM,,,epinephrine 0.04 MG/ML (SCDC) - . 
2719199,EPINEPHrine 0.04 MG/ML,TMSY,2719199,RXNORM,,,EPINEPHrine 0.04 MG/ML (TMSY) - . 
2719201,epinephrine 0.04 MG/ML [Adrenalin],SBDC,2719201,RXNORM,,,epinephrine 0.04 MG/ML [Adrenalin] (SBDC) - . 
2719201,EPINEPHrine 0.04 MG/ML [Adrenalin],TMSY,2719201,RXNORM,,,EPINEPHrine 0.04 MG/ML [Adrenalin] (TMSY) - . 
2719203,250 ML epinephrine 0.04 MG/ML Injection,SCD,2719203,RXNORM,,,250 ML epinephrine 0.04 MG/ML Injection (SCD) - . 
2719203,EPINEPHrine 10 MG in 250 ML Injection,PSN,2719203,RXNORM,,,EPINEPHrine 10 MG in 250 ML Injection (PSN) - . 
2719203,epinephrine 40 MCG/ML per 250 ML Injection,SY,2719203,RXNORM,,,epinephrine 40 MCG/ML per 250 ML Injection (SY) - . 
2719203,epinephrine 10 MG per 250 ML Injection,SY,2719203,RXNORM,,,epinephrine 10 MG per 250 ML Injection (SY) - . 
2719203,250 ML EPINEPHrine 0.04 MG/ML Injection,TMSY,2719203,RXNORM,,,250 ML EPINEPHrine 0.04 MG/ML Injection (TMSY) - . 
2719203,EPINEPHrine 10 MG per 250 ML Injection,TMSY,2719203,RXNORM,,,EPINEPHrine 10 MG per 250 ML Injection (TMSY) - . 
2719203,EPINEPHrine 40 MCG/ML per 250 ML Injection,TMSY,2719203,RXNORM,,,EPINEPHrine 40 MCG/ML per 250 ML Injection (TMSY) - . 
2719204,EPINEPHRINE 40 ug in 1 mL INTRAVENOUS INJECTION [Adrenalin (epinephrine in sodium chloride)],DP,42023-721,MTHSPL,,,EPINEPHRINE 40 ug in 1 mL INTRAVENOUS INJECTION [Adrenalin (epinephrine in sodium chloride)] (DP) - . 
2719204,250 ML epinephrine 0.04 MG/ML Injection [Adrenalin],SBD,2719204,RXNORM,,,250 ML epinephrine 0.04 MG/ML Injection [Adrenalin] (SBD) - . 
2719204,Adrenalin 40 MCG/ML per 250 ML Injection,SY,2719204,RXNORM,,,Adrenalin 40 MCG/ML per 250 ML Injection (SY) - . 
2719204,Adrenalin 10 MG per 250 ML Injection,SY,2719204,RXNORM,,,Adrenalin 10 MG per 250 ML Injection (SY) - . 
2719204,Adrenalin 10 MG in 250 ML Injection,PSN,2719204,RXNORM,,,Adrenalin 10 MG in 250 ML Injection (PSN) - . 
2719204,250 ML EPINEPHrine 0.04 MG/ML Injection [Adrenalin],TMSY,2719204,RXNORM,,,250 ML EPINEPHrine 0.04 MG/ML Injection [Adrenalin] (TMSY) - . 
2719205,epinephrine 0.008 MG/ML,SCDC,2719205,RXNORM,,,epinephrine 0.008 MG/ML (SCDC) - . 
2719205,EPINEPHrine 0.008 MG/ML,TMSY,2719205,RXNORM,,,EPINEPHrine 0.008 MG/ML (TMSY) - . 
2719206,250 ML epinephrine 0.008 MG/ML Injection,SCD,2719206,RXNORM,,,250 ML epinephrine 0.008 MG/ML Injection (SCD) - . 
2719206,EPINEPHrine 2 MG in 250 ML Injection,PSN,2719206,RXNORM,,,EPINEPHrine 2 MG in 250 ML Injection (PSN) - . 
2719206,epinephrine 8 MCG/ML per 250 ML Injection,SY,2719206,RXNORM,,,epinephrine 8 MCG/ML per 250 ML Injection (SY) - . 
2719206,epinephrine 2 MG per 250 ML Injection,SY,2719206,RXNORM,,,epinephrine 2 MG per 250 ML Injection (SY) - . 
2719206,EPINEPHrine 8 MCG/ML per 250 ML Injection,TMSY,2719206,RXNORM,,,EPINEPHrine 8 MCG/ML per 250 ML Injection (TMSY) - . 
2719206,250 ML EPINEPHrine 0.008 MG/ML Injection,TMSY,2719206,RXNORM,,,250 ML EPINEPHrine 0.008 MG/ML Injection (TMSY) - . 
2719206,EPINEPHrine 2 MG per 250 ML Injection,TMSY,2719206,RXNORM,,,EPINEPHrine 2 MG per 250 ML Injection (TMSY) - . 
2719208,epinephrine 0.008 MG/ML [Adrenalin],SBDC,2719208,RXNORM,,,epinephrine 0.008 MG/ML [Adrenalin] (SBDC) - . 
2719208,EPINEPHrine 0.008 MG/ML [Adrenalin],TMSY,2719208,RXNORM,,,EPINEPHrine 0.008 MG/ML [Adrenalin] (TMSY) - . 
2719209,EPINEPHRINE 8 ug in 1 mL INTRAVENOUS INJECTION [Adrenalin (epinephrine in sodium chloride)],DP,42023-273,MTHSPL,,,EPINEPHRINE 8 ug in 1 mL INTRAVENOUS INJECTION [Adrenalin (epinephrine in sodium chloride)] (DP) - . 
2719209,250 ML epinephrine 0.008 MG/ML Injection [Adrenalin],SBD,2719209,RXNORM,,,250 ML epinephrine 0.008 MG/ML Injection [Adrenalin] (SBD) - . 
2719209,Adrenalin 8 MCG/ML per 250 ML Injection,SY,2719209,RXNORM,,,Adrenalin 8 MCG/ML per 250 ML Injection (SY) - . 
2719209,Adrenalin 2 MG per 250 ML Injection,SY,2719209,RXNORM,,,Adrenalin 2 MG per 250 ML Injection (SY) - . 
2719209,Adrenalin 2 MG in 250 ML Injection,PSN,2719209,RXNORM,,,Adrenalin 2 MG in 250 ML Injection (PSN) - . 
2719209,250 ML EPINEPHrine 0.008 MG/ML Injection [Adrenalin],TMSY,2719209,RXNORM,,,250 ML EPINEPHrine 0.008 MG/ML Injection [Adrenalin] (TMSY) - . 
2719211,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Michigan/01/2021 antigen 0.03 MG/ML [Fluzone 2025-2026],SBDC,2719211,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Michigan/01/2021 antigen 0.03 MG/ML [Fluzone 2025-2026] (SBDC) - . 
2719212,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/CROATIA/10136RV/2023 X-425A (H3N2) ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/MICHIGAN/01/2021 ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [FLUZONE TRIVALENT NORTHERN HEMISPHERE]",DP,49281-425,MTHSPL,,,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/CROATIA/10136RV/2023 X-425A (H3N2) ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/MICHIGAN/01/2021 ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [FLUZONE TRIVALENT NORTHERN HEMISPHERE] (DP) - . "
2719212,0.5 ML influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Michigan/01/2021 antigen 0.03 MG/ML Prefilled Syringe [Fluzone 2025-2026],SBD,2719212,RXNORM,,,0.5 ML influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Michigan/01/2021 antigen 0.03 MG/ML Prefilled Syringe [Fluzone 2025-2026] (SBD) - . 
2719212,Fluzone 2025-2026 vaccine 0.5 ML Prefilled Syringe,SY,2719212,RXNORM,,,Fluzone 2025-2026 vaccine 0.5 ML Prefilled Syringe (SY) - . 
2719212,Fluzone 2025-2026 vaccine 0.5 ML Prefilled Syringe,PSN,2719212,RXNORM,,,Fluzone 2025-2026 vaccine 0.5 ML Prefilled Syringe (PSN) - . 
2719214,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Injectable Suspension [Fluzone 2025-2026],SBDF,2719214,RXNORM,,,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Injectable Suspension [Fluzone 2025-2026] (SBDF) - . 
2719215,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Michigan/01/2021 antigen Injectable Suspension [Fluzone 2025-2026],SBDFP,2719215,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen / influenza A virus A/Victoria/4897/2022 (H1N1) antigen / influenza B virus B/Michigan/01/2021 antigen Injectable Suspension [Fluzone 2025-2026] (SBDFP) - . 
2719216,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/CROATIA/10136RV/2023 X-425A (H3N2) ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/MICHIGAN/01/2021 ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [FLUZONE TRIVALENT NORTHERN HEMISPHERE]",DP,49281-643,MTHSPL,,,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA A VIRUS A/CROATIA/10136RV/2023 X-425A (H3N2) ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL / INFLUENZA B VIRUS B/MICHIGAN/01/2021 ANTIGEN (FORMALDEHYDE INACTIVATED) 15 ug in 0.5 mL INTRAMUSCULAR INJECTION, SUSPENSION [FLUZONE TRIVALENT NORTHERN HEMISPHERE] (DP) - . "
2719216,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Michigan/01/2021 antigen 0.03 MG/ML Injectable Suspension [Fluzone 2025-2026],SBD,2719216,RXNORM,,,influenza A virus A/Croatia/10136RV/2023 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Victoria/4897/2022 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Michigan/01/2021 antigen 0.03 MG/ML Injectable Suspension [Fluzone 2025-2026] (SBD) - . 
2719216,Fluzone 2025-2026 trivalent vaccine Injectable Suspension,SY,2719216,RXNORM,,,Fluzone 2025-2026 trivalent vaccine Injectable Suspension (SY) - . 
2719216,Fluzone 2025-2026 trivalent vaccine Injectable Suspension,PSN,2719216,RXNORM,,,Fluzone 2025-2026 trivalent vaccine Injectable Suspension (PSN) - . 
2719242,Lactobacillus acidophilus 1.2 MG,SCDC,2719242,RXNORM,,,Lactobacillus acidophilus 1.2 MG (SCDC) - . 
2719243,Lactobacillus delbrueckii subsp. bulgaricus 4 MG,SCDC,2719243,RXNORM,,,Lactobacillus delbrueckii subsp. bulgaricus 4 MG (SCDC) - . 
2719244,LACTOBACILLUS ACIDOPHILUS 1.2 mg / LACTOBACILLUS DELBRUECKII BULGARICUS 4 mg ORAL TABLET [Floranex],DP,64980-129,MTHSPL,WHITE(Off-White Tablet),,LACTOBACILLUS ACIDOPHILUS 1.2 mg / LACTOBACILLUS DELBRUECKII BULGARICUS 4 mg ORAL TABLET [Floranex] (DP) - WHITE(Off-White Tablet). 
2719244,Lactobacillus acidophilus 1.2 MG / Lactobacillus delbrueckii subsp. bulgaricus 4 MG Oral Tablet,SCD,2719244,RXNORM,WHITE(Off-White Tablet),,Lactobacillus acidophilus 1.2 MG / Lactobacillus delbrueckii subsp. bulgaricus 4 MG Oral Tablet (SCD) - WHITE(Off-White Tablet). 
2719244,Lactobacillus acidophilus 1.2 MG / Lactobacillus bulgaricus 4 MG Oral Tablet,SY,2719244,RXNORM,WHITE(Off-White Tablet),,Lactobacillus acidophilus 1.2 MG / Lactobacillus bulgaricus 4 MG Oral Tablet (SY) - WHITE(Off-White Tablet). 
2719244,Lactobacillus acidophilus 1.2 MG / Lactobacillus bulgaricus 4 MG Oral Tablet,PSN,2719244,RXNORM,WHITE(Off-White Tablet),,Lactobacillus acidophilus 1.2 MG / Lactobacillus bulgaricus 4 MG Oral Tablet (PSN) - WHITE(Off-White Tablet). 
